;Link;BibtexID;ResponsiblePerson;Title;StudyType;Dataset;Domain of tests [other];DataPyramid;DatasetFeatures;Coupled/Decoupled;GroundTruthType;RecommendationType;GroupSizes;Baselines;GroupConstruction;GroupDuration;EvaluationDimensions;ReproducibleCode;ReproducibleData;ReproducibleGroups;ReproducibleEvalProtocol;Notes;ParsedDataset;DatasetHighLevel;ParsedDatasetHighLevel;ParsedBaselines;EvaluationDimensionsHighLevel;ParsedDomain;ParsedGroupConstruction;ParsedGroupConstructionHighLevel;ParsedGroupSizes;bib_text;bib_ID;bib_title;bib_authors;bib_year;bib_venue;bib_venue_long;bib_venue_type;bib_doi;bib_url;bib_publisher
101;https://www.sciencedirect.com/science/article/pii/S0306457321001047;;LP;Investigating and counteracting popularity bias in group recommendations;offline;ml100k,ml1m,ciao,camra2011;movies,products?;GroupDecisions;;Coupled;Group;One-session;"avg: 10, 50, 100; avg 2";item-based(with/withoutpopularitydebiasing);similar,organic;Ephemeral;relevance(ndcg@k),popularitybias(groupaveragepopularity);Algorithm only;Data;GenerationProcedure + Groups;Somewhat unclear evaluation procedure - really splits on items?;;['ml100k', 'ml1m', 'ciao', 'camra2011'];ml100k,ml1m,ciao,camra2011;['ml100k', 'ml1m', 'ciao', 'camra2011'];['item-based'];['relevance'];['movies', 'products?'];['similar', 'organic'];['similar', 'organic'];[10.0, 50.0, 100.0, 2.0];" @article{Yalcin_2021, title={Investigating and counteracting popularity bias in group recommendations}, volume={58}, ISSN={0306-4573}, url={http://dx.doi.org/10.1016/j.ipm.2021.102608}, DOI={10.1016/j.ipm.2021.102608}, number={5}, journal={Information Processing &amp; Management}, publisher={Elsevier BV}, author={Yalcin, Emre and Bilge, Alper}, year={2021}, month=sep, pages={102608} }
";Yalcin_2021;Investigating and counteracting popularity bias in group recommendations;['Yalcin, Emre', 'Bilge, Alper'];2021;"Information Processing &amp; Management";;article;10.1016/j.ipm.2021.102608;http://dx.doi.org/10.1016/j.ipm.2021.102608;Elsevier BV
102;https://link.springer.com/chapter/10.1007/978-3-030-49778-1_19;;LP;A MAS-Based Approach for POI Group Recommendation in LBSN;offline;yelp(arizona);pois;No_groups;;Decoupled;Individual;One-session;3-5;item-based,preference-aggregation;random;Ephemeral;relevance(meansatisfaction),fairness(memberssatisfactiondispersion,satisfactionabovethreshold);Algorithm only;Yelp not available,;General characteristics;Repository exists, but only contains additional figures, no code;;['yelp(arizona)'];yelp;['yelp'];['item-based', 'profile-aggregation'];['relevance'];['pois'];['random'];['random'];[4.0];" @inbook{Schiaffino_2020, title={A MAS-Based Approach for POI Group Recommendation in LBSN}, ISBN={9783030497781}, ISSN={1611-3349}, url={http://dx.doi.org/10.1007/978-3-030-49778-1_19}, DOI={10.1007/978-3-030-49778-1_19}, booktitle={Lecture Notes in Computer Science}, publisher={Springer International Publishing}, author={Schiaffino, Silvia and Godoy, Daniela and Pace, J. Andrés Díaz and Demazeau, Yves}, year={2020}, pages={238–250} }
";Schiaffino_2020;A MAS-Based Approach for POI Group Recommendation in LBSN;['Schiaffino, Silvia', 'Godoy, Daniela', 'Pace, J. Andrés Díaz', 'Demazeau, Yves'];2020;PAAMS;Lecture Notes in Computer Science;inbook;10.1007/978-3-030-49778-1_19;http://dx.doi.org/10.1007/978-3-030-49778-1_19;Springer
103;https://dl.acm.org/doi/abs/10.1145/3397271.3401064;;LP;GAME: Learning Graphical and Attentive Multi-view Embeddings for Occasional Group Recommendation;offline;meetup(ca),meetup(ny);events;GroupDecisions;;Coupled;Group;One-session;Not specified;item-based,mosan,agree,gradi;organic;Mixed;relevance(hr@k,ndcg@k);Algorithm only;Problems: cannot obtain the data anymore from the original location;Groups;;;['meetup(ca)', 'meetup(ny)'];meetup;['meetup'];['item-based', 'mosan', 'agree', 'gradi'];['relevance'];['events'];['organic'];['organic'];[];"@inproceedings{10.1145/3397271.3401064,
author = {He, Zhixiang and Chow, Chi-Yin and Zhang, Jia-Dong},
title = {GAME: Learning Graphical and Attentive Multi-View Embeddings for Occasional Group Recommendation},
year = {2020},
isbn = {9781450380164},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3397271.3401064},
doi = {10.1145/3397271.3401064},
abstract = {Group recommendation aims to suggest preferred items to a group of users rather than to an individual user. Most existing methods on group recommendation directly learn theinherent interests of groups and users orinherent features of items, i.e., independently modeling the inherent embeddings of groups, users or items. However, the independent view severely suffers from the cold-start problem when making recommendations for occasional groups that are temporally formed by a set of users and have few interactions on items. Actually, the groups, users and items are interdependent because they interact with one another. The interdependencies constitute an interaction graph that provides multiple views to model the embeddings of groups, users and items from their interacting counterparts to improve recommendation for occasional groups. To this end, we propose a model, named GAME to learn the Graphical and Attentive Multi-view Embeddings (i.e., representations) for the groups, users and items from the independent view and counterpart views based on the interaction graph. In the counterpart views, the embedding of a group, user or item is aggregated from the interacting counterparts based on an attention mechanism that derives the adaptive weight for each counterpart. For instance, a user's embedding may be aggregated from her interacting items or groups. Further, GAME applies neural collaborative filtering to investigate the interactions between the multi-view embeddings of groups (or users) and items for group recommendation. Finally, we conduct extensive experiments on two real datasets. The experimental results show that GAME outperforms other state-of-the-art models, especially on both cold-start groups (i.e., occasional groups) and cold-start items.},
booktitle = {Proceedings of the 43rd International ACM SIGIR Conference on Research and Development in Information Retrieval},
pages = {649–658},
numpages = {10},
keywords = {attention mechanism, multi-view embeddings, occasional group, interaction graph, group recommendation},
location = {Virtual Event, China},
series = {SIGIR '20}
}
";10.1145/3397271.3401064;GAME: Learning Graphical and Attentive Multi-View Embeddings for Occasional Group Recommendation;['He, Zhixiang', 'Chow, Chi-Yin', 'Zhang, Jia-Dong'];2020;SIGIR;Proceedings of the 43rd International ACM SIGIR Conference on Research and Development in Information Retrieval;inproceedings;10.1145/3397271.3401064;https://doi.org/10.1145/3397271.3401064;ACM
104;https://dl.acm.org/doi/abs/10.1145/3397271.3401116;;LP;GroupIM: A Mutual Information Maximization Framework for Neural Group Recommendation;offline;yelp,gowalla,weeplaces,douban;pois,events;GroupDecisions;;Coupled;Group;One-session;avg: 7, 3, 3, 4;popularity,item-based,com,crowdrec,mosan,agree;organic;Ephemeral;relevance(recall@k,ndcg@k);Code;Yelp not available, Douban seems not available as well / repository contains Weeplaces data;Groups;;;['yelp', 'gowalla', 'weeplaces', 'douban'];yelp,gowalla,weeplaces,douban;['yelp', 'gowalla', 'weeplaces', 'douban'];['popularity', 'item-based', 'com', 'crowdrec', 'mosan', 'agree'];['relevance'];['pois', 'events'];['organic'];['organic'];[7.0, 3.0, 3.0, 4.0];"@inproceedings{10.1145/3397271.3401116,
author = {Sankar, Aravind and Wu, Yanhong and Wu, Yuhang and Zhang, Wei and Yang, Hao and Sundaram, Hari},
title = {GroupIM: A Mutual Information Maximization Framework for Neural Group Recommendation},
year = {2020},
isbn = {9781450380164},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3397271.3401116},
doi = {10.1145/3397271.3401116},
abstract = {We study the problem of making item recommendations to ephemeral groups, which comprise users with limited or no historical activities together. Existing studies target persistent groups with substantial activity history, while ephemeral groups lack historical interactions. To overcome group interaction sparsity, we propose data-driven regularization strategies to exploit both the preference covariance amongst users who are in the same group, as well as the contextual relevance of users' individual preferences to each group.We make two contributions. First, we present a recommender architecture-agnostic framework GroupIM that can integrate arbitrary neural preference encoders and aggregators for ephemeral group recommendation. Second, we regularize the user-group latent space to overcome group interaction sparsity by: maximizing mutual information between representations of groups and group members; and dynamically prioritizing the preferences of highly informative members through contextual preference weighting. Our experimental results on several real-world datasets indicate significant performance improvements (31-62\% relative NDCG@20) over state-of-the-art group recommendation techniques.},
booktitle = {Proceedings of the 43rd International ACM SIGIR Conference on Research and Development in Information Retrieval},
pages = {1279–1288},
numpages = {10},
keywords = {data sparsity, group recommendation, representation learning, mutual information, neural collaborative filtering},
location = {Virtual Event, China},
series = {SIGIR '20}
}

";10.1145/3397271.3401116;GroupIM: A Mutual Information Maximization Framework for Neural Group Recommendation;['Sankar, Aravind', 'Wu, Yanhong', 'Wu, Yuhang', 'Zhang, Wei', 'Yang, Hao', 'Sundaram, Hari'];2020;SIGIR;Proceedings of the 43rd International ACM SIGIR Conference on Research and Development in Information Retrieval;inproceedings;10.1145/3397271.3401116;https://doi.org/10.1145/3397271.3401116;ACM
105;https://dl.acm.org/doi/abs/10.1145/3397271.3401136;;LP;Group-Aware Long- and Short-Term Graph Representation Learning for Sequential Group Recommendation;offline;wechat,ml20m;articles,movies;GroupDecisions;;Coupled;Group;One-session;Not specified, 3+;popularity,item-based,agree,mosan;organic+similar;Permanent;relevance(precision@k,recall@k,ndcg@k,map@k);Algorithm only;WeChat dataset not public;GenerationProcedure;;;['wechat', 'ml20m'];wechat,ml20m;['ml20m', 'other'];['popularity', 'item-based', 'agree', 'mosan'];['relevance'];['articles', 'movies'];['organic', 'similar'];['organic', 'similar'];[3.0];" @inproceedings{Wang_2020, series={SIGIR ’20}, title={Group-Aware Long- and Short-Term Graph Representation Learning for Sequential Group Recommendation}, url={http://dx.doi.org/10.1145/3397271.3401136}, DOI={10.1145/3397271.3401136}, booktitle={Proceedings of the 43rd International ACM SIGIR Conference on Research and Development in Information Retrieval}, publisher={ACM}, author={Wang, Wen and Zhang, Wei and Rao, Jun and Qiu, Zhijie and Zhang, Bo and Lin, Leyu and Zha, Hongyuan}, year={2020}, month=jul, collection={SIGIR ’20} }
";Wang_2020;Group-Aware Long- and Short-Term Graph Representation Learning for Sequential Group Recommendation;['Wang, Wen', 'Zhang, Wei', 'Rao, Jun', 'Qiu, Zhijie', 'Zhang, Bo', 'Lin, Leyu', 'Zha, Hongyuan'];2020;SIGIR;Proceedings of the 43rd International ACM SIGIR Conference on Research and Development in Information Retrieval;inproceedings;10.1145/3397271.3401136;http://dx.doi.org/10.1145/3397271.3401136;ACM
108;https://ieeexplore.ieee.org/abstract/document/9101842;;LP;Group Recommendation with Latent Voting Mechanism;offline;douban,yelp(la);events,pois;GroupDecisions;;Coupled;Group;One-session;avg:5, 4;item-based,popularity,indivrs-groups-data,agree,sigr;organic;Mixed;relevance(hr@k,ndcg@k);Algorithm only;Datasets no longer available from refered link;GenerationProcedure;"The ""same time"" in groups generation is somewhat vague, also no details on dataset subsetting (i.e., what area)";;['douban', 'yelp(la)'];douban,yelp;['douban', 'yelp'];['item-based', 'popularity', 'indivrs-groups-data', 'agree', 'sigr'];['relevance'];['events', 'pois'];['organic'];['organic'];[5.0, 4.0];" @inproceedings{Guo_2020, title={Group Recommendation with Latent Voting Mechanism}, url={http://dx.doi.org/10.1109/icde48307.2020.00018}, DOI={10.1109/icde48307.2020.00018}, booktitle={2020 IEEE 36th International Conference on Data Engineering (ICDE)}, publisher={IEEE}, author={Guo, Lei and Yin, Hongzhi and Wang, Qinyong and Cui, Bin and Huang, Zi and Cui, Lizhen}, year={2020}, month=apr }
";Guo_2020;Group Recommendation with Latent Voting Mechanism;['Guo, Lei', 'Yin, Hongzhi', 'Wang, Qinyong', 'Cui, Bin', 'Huang, Zi', 'Cui, Lizhen'];2020;ICDE;2020 IEEE 36th International Conference on Data Engineering (ICDE);inproceedings;10.1109/icde48307.2020.00018;http://dx.doi.org/10.1109/icde48307.2020.00018;IEEE
110;https://ieeexplore.ieee.org/abstract/document/9155672;;LP;Educational Group Recommendations with Virtual Leaders;offline;privatedataset(studentgroupprojectsselection);education;GroupDecisions;337 students, 4235 ratings, 70 items + 163 groups with 1700 ratings;Coupled;Group;One-session;2-4;item-based,pbi,pbl;organic;Mixed;relevance(mae,ndcg);Algorithm only;Dataset was not published;Groups;;;['privatedataset(studentgroupprojectsselection)'];privatedataset;['other'];['item-based', 'pbi', 'pbl'];['relevance'];['education'];['organic'];['organic'];[3.0];" @inproceedings{Zheng_2020, title={Educational Group Recommendations with Virtual Leaders}, url={http://dx.doi.org/10.1109/icalt49669.2020.00023}, DOI={10.1109/icalt49669.2020.00023}, booktitle={2020 IEEE 20th International Conference on Advanced Learning Technologies (ICALT)}, publisher={IEEE}, author={Zheng, Yong}, year={2020}, month=jul }
";Zheng_2020;Educational Group Recommendations with Virtual Leaders;['Zheng, Yong'];2020;ICALT;2020 IEEE 20th International Conference on Advanced Learning Technologies (ICALT);inproceedings;10.1109/icalt49669.2020.00023;http://dx.doi.org/10.1109/icalt49669.2020.00023;IEEE
111;https://ieeexplore.ieee.org/abstract/document/9195784;;LP;Overcoming Data Sparsity in Group Recommendation;offline;yelp(la),douban,meetup;pois,events;GroupDecisions;;Coupled;Group;One-session;avg: 4, 5, 9;sigr,groupsa,sacml,sa-ncf;organic;Mixed;relevance(hr@k,mrr);Algorithm only;Yelp and Douban datasets not available;GenerationProcedure + Groups;Datasets link unfortunately does not work anymore;;['yelp(la)', 'douban', 'meetup'];yelp,douban,meetup;['yelp', 'douban', 'meetup'];['sigr', 'groupsa', 'sacml', 'sa-ncf'];['relevance'];['pois', 'events'];['organic'];['organic'];[4.0, 5.0, 9.0];" @article{Yin_2020, title={Overcoming Data Sparsity in Group Recommendation}, ISSN={2326-3865}, url={http://dx.doi.org/10.1109/tkde.2020.3023787}, DOI={10.1109/tkde.2020.3023787}, journal={IEEE Transactions on Knowledge and Data Engineering}, publisher={Institute of Electrical and Electronics Engineers (IEEE)}, author={Yin, Hongzhi and Wang, Qinyong and Zheng, Kai and Li, Zhixu and Zhou, Xiaofang}, year={2020}, pages={1–1} }
";Yin_2020;Overcoming Data Sparsity in Group Recommendation;['Yin, Hongzhi', 'Wang, Qinyong', 'Zheng, Kai', 'Li, Zhixu', 'Zhou, Xiaofang'];2020;IEEE Transactions on Knowledge and Data Engineering;;article;10.1109/tkde.2020.3023787;http://dx.doi.org/10.1109/tkde.2020.3023787;IEEE
112;https://ieeexplore.ieee.org/abstract/document/9283893;;LP;Context-Aware Restaurant Recommendation for Group of People;offline;collectedfrombejingrestaurantcomments(bjpc);pois(restaurants);No_groups;300K users, 3.7K restaurants, 1.4M interactions;Not clear;Individual;Unclear / not specified;2-10;item-based,cpd;random;Ephemeral;relevance,fairness(globalsatisfaction:per-groupmean-std.deviation),poidistance;Algorithm only;Dataset was not published;GenerationProcedure;Unclear evaluation protocol (no info on splits, coupled vs. decoupled etc.);;['collectedfrombejingrestaurantcomments(bjpc)'];collectedfrombejingrestaurantcomments;['other'];['item-based', 'cpd'];['relevance', 'fairness'];['pois(restaurants)'];['random'];['random'];[6.0];" @inproceedings{Zhu_2020, title={Context-Aware Restaurant Recommendation for Group of People}, url={http://dx.doi.org/10.1109/services48979.2020.00025}, DOI={10.1109/services48979.2020.00025}, booktitle={2020 IEEE World Congress on Services (SERVICES)}, publisher={IEEE}, author={Zhu, Qiliang and Wang, Lei}, year={2020}, month=oct }
";Zhu_2020;Context-Aware Restaurant Recommendation for Group of People;['Zhu, Qiliang', 'Wang, Lei'];2020;SERVICES;2020 IEEE World Congress on Services (SERVICES);inproceedings;10.1109/services48979.2020.00025;http://dx.doi.org/10.1109/services48979.2020.00025;IEEE
113;https://ieeexplore.ieee.org/abstract/document/9429731;;LP;Secure Artificial Intelligence of Things for Implicit Group Recommendations;offline;last.fm,delicious;music,bookmarks;No_groups;;Not applicable;Individual;One-session;avg: 30, 33;preference-aggregation,rangroup;random(withminimalsocialdensitythreshold);Unclear / not specified;"calibration(differencesintopicsdistributio;variousdistancemetrics)";Algorithm only;Data;General characteristics;Some details of the groups construction & evaluation not clear (how to achieve social density, how to get group interactions,...);;['last.fm', 'delicious'];last.fm,delicious;['last.fm', 'delicious'];['profile-aggregation', 'rangroup'];['calibration'];['music', 'bookmarks'];['random(withminimalsocialdensitythreshold)'];['random'];[30.0, 33.0];" @article{Yu_2022, title={Secure Artificial Intelligence of Things for Implicit Group Recommendations}, volume={9}, ISSN={2372-2541}, url={http://dx.doi.org/10.1109/jiot.2021.3079574}, DOI={10.1109/jiot.2021.3079574}, number={4}, journal={IEEE Internet of Things Journal}, publisher={Institute of Electrical and Electronics Engineers (IEEE)}, author={Yu, Keping and Guo, Zhiwei and Shen, Yu and Wang, Wei and Lin, Jerry Chun-Wei and Sato, Takuro}, year={2022}, month=feb, pages={2698–2707} }
";Yu_2022;Secure Artificial Intelligence of Things for Implicit Group Recommendations;['Yu, Keping', 'Guo, Zhiwei', 'Shen, Yu', 'Wang, Wei', 'Lin, Jerry Chun-Wei', 'Sato, Takuro'];2022;IEEE Internet of Things Journal;;article;10.1109/jiot.2021.3079574;http://dx.doi.org/10.1109/jiot.2021.3079574;IEEE
114;https://link.springer.com/article/10.1007/s00521-020-04979-4;;LP;A new point-of-interest group recommendation method in location-based social networks;offline;foursquare,brightkite,gowalla,twitter;lbsn(pois);GroupDecisions;subsets with 30K users each, approx. 1500 POIs and 150K check-ins;Coupled;Group;One-session;2-10;gre,cmfc;organic;Mixed;relevance(precision,recall,f1);Algorithm only;Dataset was not published;GenerationProcedure;No details on how the datasets were obtained from the source applications;;['foursquare', 'brightkite', 'gowalla', 'twitter'];foursquare,brightkite,gowalla,twitter;['foursquare', 'gowalla', 'other'];['gre', 'cmfc'];['relevance'];['lbsn(pois)'];['organic'];['organic'];[6.0];" @article{Zhao_2020, title={A new point-of-interest group recommendation method in location-based social networks}, volume={35}, ISSN={1433-3058}, url={http://dx.doi.org/10.1007/s00521-020-04979-4}, DOI={10.1007/s00521-020-04979-4}, number={18}, journal={Neural Computing and Applications}, publisher={Springer Science and Business Media LLC}, author={Zhao, Xiangguo and Zhang, Zhen and Bi, Xin and Sun, Yongjiao}, year={2020}, month=may, pages={12945–12956} }
";Zhao_2020;A new point-of-interest group recommendation method in location-based social networks;['Zhao, Xiangguo', 'Zhang, Zhen', 'Bi, Xin', 'Sun, Yongjiao'];2020;Neural Computing and Applications;;article;10.1007/s00521-020-04979-4;http://dx.doi.org/10.1007/s00521-020-04979-4;Springer
115;https://link.springer.com/article/10.1007/s11042-020-09339-x;;LP;Negotiation framework for group recommendation based on fuzzy computational model of trust and distrust;offline;ml100k,epinions,book-crossing;movies,reviews,books;No_groups;;Coupled;Individual;One-session;2-10;item-based;random,similar;Ephemeral;relevance(precision@k,recall@k,f1,ndcg@k,mae);Algorithm only;Data;General characteristics;No details on how the similar groups are constructed;;['ml100k', 'epinions', 'book-crossing'];ml100k,epinions,book-crossing;['ml100k', 'epinions', 'other'];['item-based'];['relevance'];['movies', 'reviews', 'books'];['random', 'similar'];['random', 'similar'];[6.0];" @article{Choudhary_2020, title={Negotiation framework for group recommendation based on fuzzy computational model of trust and distrust}, volume={79}, ISSN={1573-7721}, url={http://dx.doi.org/10.1007/s11042-020-09339-x}, DOI={10.1007/s11042-020-09339-x}, number={37–38}, journal={Multimedia Tools and Applications}, publisher={Springer Science and Business Media LLC}, author={Choudhary, Nirmal and Minz, Sonajharia and Bharadwaj, K. K.}, year={2020}, month=jul, pages={27337–27364} }
";Choudhary_2020;Negotiation framework for group recommendation based on fuzzy computational model of trust and distrust;['Choudhary, Nirmal', 'Minz, Sonajharia', 'Bharadwaj, K. K.'];2020;Multimedia Tools and Applications;;article;10.1007/s11042-020-09339-x;http://dx.doi.org/10.1007/s11042-020-09339-x;Springer
116;https://onlinelibrary.wiley.com/doi/full/10.1111/coin.12398;;LP;Group recommendation with noisy subjective preferences;offline;synthetic,irishelection,sushi;politics,food;No_groups;;Coupled;Individual;One-session;5-100;item-based;notspecified;Ephemeral;relevance(scaledkendall-taudistance,disaggreementdistance:bothself-defined);Algorithm only;Data;General characteristics;No details on how the groups are constructed (similar/random/...);;['synthetic', 'irishelection', 'sushi'];synthetic,irishelection,sushi;['synthetic', 'irishelection', 'sushi'];['item-based'];['relevance'];['politics', 'food'];['notspecified'];['unknown / not applicable'];[52.0];" @article{Salehi_Abari_2020, title={Group recommendation with noisy subjective preferences}, volume={37}, ISSN={1467-8640}, url={http://dx.doi.org/10.1111/coin.12398}, DOI={10.1111/coin.12398}, number={1}, journal={Computational Intelligence}, publisher={Wiley}, author={Salehi‐Abari, Amirali and Larson, Kate}, year={2020}, month=sep, pages={210–225} }
";Salehi_Abari_2020;Group recommendation with noisy subjective preferences;['Salehi‐Abari, Amirali', 'Larson, Kate'];2020;Computational Intelligence;;article;10.1111/coin.12398;http://dx.doi.org/10.1111/coin.12398;Wiley
117;https://www.sciencedirect.com/science/article/pii/S1084804520300539;;LP;An enhanced probabilistic fairness-aware group recommendation by incorporating social activeness;offline;epinions,ciao,douban;reviews,movies;No_groups;;Coupled;Individual;One-session;2-1304, 2-429, 2-326;item-based,greedylm,greedyvar,usrg,com,efgreedy,crowdrec,nigr,coagr,trust-based;organic(social-relationbased);Ephemeral;relevance(hr@k,arhr@k:discountedbyhit'sposition);Algorithm only;Datasets no lnger available from linked sources, no details on how Douban was sampled;GenerationProcedure;Ciao and Epinions dataset available from https://www.cse.msu.edu/~tangjili/datasetcode/truststudy.htm;;['epinions', 'ciao', 'douban'];epinions,ciao,douban;['epinions', 'ciao', 'douban'];['item-based', 'greedylm', 'greedyvar', 'usrg', 'com', 'efgreedy', 'crowdrec', 'nigr', 'coagr', 'trust-based'];['relevance'];['reviews', 'movies'];['organic(social-relationbased)'];['organic'];[653.0, 216.0, 164.0];" @article{Xiao_2020, title={An enhanced probabilistic fairness-aware group recommendation by incorporating social activeness}, volume={156}, ISSN={1084-8045}, url={http://dx.doi.org/10.1016/j.jnca.2020.102579}, DOI={10.1016/j.jnca.2020.102579}, journal={Journal of Network and Computer Applications}, publisher={Elsevier BV}, author={Xiao, Yang and Pei, Qingqi and Yao, Lina and Yu, Shui and Bai, Lei and Wang, Xianzhi}, year={2020}, month=apr, pages={102579} }
";Xiao_2020;An enhanced probabilistic fairness-aware group recommendation by incorporating social activeness;['Xiao, Yang', 'Pei, Qingqi', 'Yao, Lina', 'Yu, Shui', 'Bai, Lei', 'Wang, Xianzhi'];2020;Journal of Network and Computer Applications;;article;10.1016/j.jnca.2020.102579;http://dx.doi.org/10.1016/j.jnca.2020.102579;Elsevier BV
118;https://www.tandfonline.com/doi/full/10.1080/00051144.2020.1715590;;LP;Group recommendation based on hybrid trust metric;offline;last.fm;music;No_groups;;Not clear;Individual;One-session;Not specified;trust-based;organic(social-relationbased);Ephemeral;relevance(precision@k,recall@k);Algorithm only;Dataset to check availability;General characteristics;"No details on how the groups are constructed (what relation defines ""social circle"" in particular, how is intimacy evaluated). No details on test set's ground truth";;['last.fm'];last.fm;['last.fm'];['trust-based'];['relevance'];['music'];['organic(social-relationbased)'];['organic'];[];" @article{Wang_2020, title={Group recommendation based on hybrid trust metric}, volume={61}, ISSN={1848-3380}, url={http://dx.doi.org/10.1080/00051144.2020.1715590}, DOI={10.1080/00051144.2020.1715590}, number={4}, journal={Automatika}, publisher={Informa UK Limited}, author={Wang, Haiyan and Chen, Dongdong and Zhang, Jiawei}, year={2020}, month=jan, pages={694–703} }
";Wang_2020;Group recommendation based on hybrid trust metric;['Wang, Haiyan', 'Chen, Dongdong', 'Zhang, Jiawei'];2020;Automatika;;article;10.1080/00051144.2020.1715590;http://dx.doi.org/10.1080/00051144.2020.1715590;Informa UK Limited
119;https://content.iospress.com/articles/journal-of-intelligent-and-fuzzy-systems/ifs169977;;LP;Optimized fuzzy-based group recommendation with parallel computation;offline;ml100k,ml1m;movies;No_groups;;Coupled;Individual;One-session;3-8;item-based;similar;Ephemeral;relevance(precision@k,recall@k,ndcg@k,normalizedrmse);Algorithm only;Data;General characteristics;;;['ml100k', 'ml1m'];ml100k,ml1m;['ml100k', 'ml1m'];['item-based'];['relevance'];['movies'];['similar'];['similar'];[6.0];" @article{Natarajan_2019, title={Optimized fuzzy-based group recommendation with parallel computation}, volume={36}, ISSN={1875-8967}, url={http://dx.doi.org/10.3233/jifs-169977}, DOI={10.3233/jifs-169977}, number={5}, journal={Journal of Intelligent &amp; Fuzzy Systems}, publisher={IOS Press}, author={Natarajan, Sivaramakrishnan and Vairavasundaram, Subramaniyaswamy and Ravi, Logesh}, editor={Vijayakumar, V. and Subramaniyaswamy, V. and Abawajy, Jemal and Yang, Longzhi}, year={2019}, month=may, pages={4189–4199} }
";Natarajan_2019;Optimized fuzzy-based group recommendation with parallel computation;['Natarajan, Sivaramakrishnan', 'Vairavasundaram, Subramaniyaswamy', 'Ravi, Logesh'];2019;"Journal of Intelligent &amp; Fuzzy Systems";;article;10.3233/jifs-169977;http://dx.doi.org/10.3233/jifs-169977;IOS Press
120;https://dl.acm.org/doi/abs/10.1145/3298689.3346988;;LP;User-centered evaluation of strategies for recommending sequences of points of interest to groups;userstudy;basedonfoursquareitems;pois;IndividualSatisfaction;40 groups of 3, 120 users in total, 18 trips rated per group;Not applicable;Individual;One-session;3;preference-aggregation,fai;organic;Ephemeral;relevance(4varyingquestions),diversity;Algorithm only;General characteristics only;General characteristics;;;['basedonfoursquareitems'];basedonfoursquareitems;['other'];['profile-aggregation', 'fai'];['relevance', 'diversity'];['pois'];['organic'];['organic'];[3.0];" @inproceedings{Herzog_2019, series={RecSys ’19}, title={User-centered evaluation of strategies for recommending sequences of points of interest to groups}, url={http://dx.doi.org/10.1145/3298689.3346988}, DOI={10.1145/3298689.3346988}, booktitle={Proceedings of the 13th ACM Conference on Recommender Systems}, publisher={ACM}, author={Herzog, Daniel and Wörndl, Wolfgang}, year={2019}, month=sep, collection={RecSys ’19} }
";Herzog_2019;User-centered evaluation of strategies for recommending sequences of points of interest to groups;['Herzog, Daniel', 'Wörndl, Wolfgang'];2019;RecSys;Proceedings of the 13th ACM Conference on Recommender Systems;inproceedings;10.1145/3298689.3346988;http://dx.doi.org/10.1145/3298689.3346988;ACM
121;https://dl.acm.org/doi/abs/10.1145/3314183.3324987;;LP;Modeling Uncertainty in Group Recommendations;offline;ml1m,travel(https://dl.acm.org/doi/10.1145/2959100.2959168);movies,travel;GroupDecisions;60 groups of 2-4persons, 11 ratings of travel destinations;Mixture or hybrid;Group;One-session;3-20, 2-4;item-based,spgreedy,efgreedy,gvar;random,similar+organic;Ephemeral;relevance(kendall'stau,ndcg@k);Algorithm only;TRAVEL dataset not publicly available? Check with Amra;GenerationProcedure + Groups;;;['ml1m', 'travel(https://dl.acm.org/doi/10.1145/2959100.2959168)'];ml1m,travel;['ml1m', 'other'];['item-based', 'spgreedy', 'efgreedy', 'greedyvar'];['relevance'];['movies', 'travel'];['random', 'similar', 'organic'];['random', 'similar', 'organic'];[12.0, 3.0];" @inproceedings{Sacharidis_2019, series={UMAP ’19}, title={Modeling Uncertainty in Group Recommendations}, url={http://dx.doi.org/10.1145/3314183.3324987}, DOI={10.1145/3314183.3324987}, booktitle={Adjunct Publication of the 27th Conference on User Modeling, Adaptation and Personalization}, publisher={ACM}, author={Sacharidis, Dimitris}, year={2019}, month=jun, collection={UMAP ’19} }
";Sacharidis_2019;Modeling Uncertainty in Group Recommendations;['Sacharidis, Dimitris'];2019;UMAP;Adjunct Publication of the 27th Conference on User Modeling, Adaptation and Personalization;inproceedings;10.1145/3314183.3324987;http://dx.doi.org/10.1145/3314183.3324987;ACM
